SKU,Price API,Price Shopify,Quantity
P64,31.4,43.53,100
P974,9.9,13.86,10
P2353,29.59,41.03,50
P248,28.07,38.94,10
P2218,25.45,35.32,50
P2755,19.17,26.65,6
P4578,12.89,17.99,100
P120,37.96,52.58,100
P984,7.49,10.54,100
P1458,11.58,16.18,10
P2430,3.34,4.81,0
P1134,40.5,56.09,0
P2749,12.94,18.06,10
P1811,17.36,24.16,9
P3950,14.63,20.39,0
P2786,28.64,39.72,10
P779,5.9,8.34,10
P2857,9.62,13.48,0
P944,34.52,47.84,4
P6004,11.12,15.55,50
P1895,26.4,36.63,10
P3942,4.2,6.00,50
P2213,8.12,11.41,100
P2845,20.97,29.14,0
P5711,28.85,40.01,0
P3076,10.12,14.17,50
P331,34.92,48.39,100
P3947,10.35,14.48,50
P1642,8.95,12.55,50
P3972,13.03,18.18,100
P2089,13.43,18.73,100
P778,12.03,16.80,100
P928,32.45,44.98,10
P5247,17.24,23.99,100
P4400,42.48,58.82,50
P4401,42.48,58.82,50
P3008,19.27,26.79,0
P2236,22.29,30.96,0
P2796,8.85,12.41,4
P3962,33.23,46.06,0
P302,34.92,48.39,50
P781,7.96,11.18,100
P121,28.84,40.00,100
P546,35.07,48.60,100
P4576,5.34,7.57,6
P437,18.45,25.66,50
P301,61.36,84.88,100
P222,27.55,38.22,100
P110,13.56,18.91,0
P361,30.39,42.14,0
P393,8.37,11.75,10
P394,7.18,10.11,10
P396,10.34,14.47,50
P392,6.55,9.24,50
P390,9.35,13.10,100
P391,4.13,5.90,100
P443,14.93,20.80,4
P444,4.84,6.88,100
P446,10.72,14.99,10
P53,11.41,15.95,0
P54,8.94,12.54,10
P66,16.92,23.55,10
P70,10.18,14.25,100
P71,20.58,28.60,100
P567,11.48,16.04,10
P574,2.88,4.17,0
P442,15.54,21.65,0
P582,31.75,44.02,0
P724,31.62,43.84,0
P735,10.38,14.52,10
P777,11.19,15.64,10
P780,10.77,15.06,0
P867,30.91,42.86,6
P880,14.72,20.51,0
P890,23.57,32.73,10
P908,18.17,25.27,10
P909,21.89,30.41,10
P1039,11.17,15.61,10
P247,40.23,55.72,10
P1145,6.55,9.24,0
P1202,10.2,14.28,10
P1346,13.01,18.15,10
P1348,6.81,9.60,100
P1350,23.5,32.63,100
P1352,9.35,13.10,10
P1354,11.68,16.32,0
P1356,9.26,12.98,7
P1395,6.29,8.88,0
P1415,9.92,13.89,10
P1425,7.07,9.96,100
P1349,11.17,15.61,50
P1456,10.32,14.44,10
P1455,25.19,34.96,10
P1457,11.58,16.18,10
P1459,7.58,10.66,50
P1460,7.63,10.73,100
P1597,17.58,24.46,10
P1596,17.58,24.46,10
P1598,17.58,24.46,6
P1670,16.02,22.31,50
P1720,35.84,49.66,9
P1719,35.84,49.66,0
P505,22.78,31.64,50
P1748,14.59,20.33,10
P1763,11.65,16.28,0
P1771,35.84,49.66,0
P1783,19.45,27.04,10
P1827,15.39,21.44,10
P1896,23.25,32.28,0
P1897,17.5,24.35,100
P1905,12.44,17.37,0
P1974,47.98,66.41,7
P2070,40.37,55.91,1
